display_entity_type	entity_type	event_name	event_type	node_id	event_node_name
ap	ap	ap_disconnect	boot_configuration_broke_the_cloud	0	ap|ap|ap_disconnect|boot_configuration_broke_the_cloud
ap	ap	ap_disconnect	boot_configuration_invalid	1	ap|ap|ap_disconnect|boot_configuration_invalid
ap	ap	ap_disconnect	cloud_cert_time_check_failure	2	ap|ap|ap_disconnect|cloud_cert_time_check_failure
ap	ap	ap_disconnect	default_gateway_unreachable	3	ap|ap|ap_disconnect|default_gateway_unreachable
ap	ap	ap_disconnect	locally_offline	4	ap|ap|ap_disconnect|locally_offline
ap	ap	ap_disconnect	locally_online	5	ap|ap|ap_disconnect|locally_online
ap	ap	ap_disconnect	mutual_authentication_failed	6	ap|ap|ap_disconnect|mutual_authentication_failed
ap	ap	ap_disconnect	no_dns_response	7	ap|ap|ap_disconnect|no_dns_response
ap	ap	ap_disconnect	no_ethernet_link	8	ap|ap|ap_disconnect|no_ethernet_link
ap	ap	ap_disconnect	no_ip_address	9	ap|ap|ap_disconnect|no_ip_address
ap	ap	ap_disconnect	pace_stuck	10	ap|ap|ap_disconnect|pace_stuck
ap	ap	ap_disconnect	site_down	11	ap|ap|ap_disconnect|site_down
ap	ap	ap_disconnect	switch_down	12	ap|ap|ap_disconnect|switch_down
ap	ap	ap_disconnect	unreachability	13	ap|ap|ap_disconnect|unreachability
ap	ap	ap_restart	ep_control_fatal	14	ap|ap|ap_restart|ep_control_fatal
ap	ap	ap_restart	pace_fatal	15	ap|ap|ap_restart|pace_fatal
ap	ap	ap_restart	panic	16	ap|ap|ap_restart|panic
ap	ap	ap_restart	power_cycle	17	ap|ap|ap_restart|power_cycle
ap	ap	ap_restart	restart_by_mist	18	ap|ap|ap_restart|restart_by_mist
ap	ap	ap_restart	restart_by_qbot	19	ap|ap|ap_restart|restart_by_qbot
ap	ap	ap_restart	restart_by_user	20	ap|ap|ap_restart|restart_by_user
ap	ap	ap_restart	silent_reboot	21	ap|ap|ap_restart|silent_reboot
ap	ap	ap_restart	unknown	22	ap|ap|ap_restart|unknown
ap	ap	ap_restart	unrecognized	23	ap|ap|ap_restart|unrecognized
ap	ap	ap_restart	upgrade	24	ap|ap|ap_restart|upgrade
ap	ap	bad_cable	bad_cable	25	ap|ap|bad_cable|bad_cable
ap	ap	insufficient_coverage	insufficient_coverage	26	ap|ap|insufficient_coverage|insufficient_coverage
ap	ap	low_memory	kernel_low_memory	27	ap|ap|low_memory|kernel_low_memory
ap	ap	low_memory	user_space_low_memory	28	ap|ap|low_memory|user_space_low_memory
ap	ap	process_panic	pace_panic	29	ap|ap|process_panic|pace_panic
ap	radio	capacity_anomaly	client_usage	30	ap|radio|capacity_anomaly|client_usage
ap	radio	capacity_anomaly	cochannel	31	ap|radio|capacity_anomaly|cochannel
ap	radio	capacity_anomaly	nonwifi	32	ap|radio|capacity_anomaly|nonwifi
ap	radio	coverage_anomaly	asymmetry_downlink	33	ap|radio|coverage_anomaly|asymmetry_downlink
ap	radio	coverage_anomaly	asymmetry_uplink	34	ap|radio|coverage_anomaly|asymmetry_uplink
ap	radio	coverage_anomaly	weak_signal	35	ap|radio|coverage_anomaly|weak_signal
